杭州,hangzhou14.
上海,shanghai2.
成都,chengdu104.
厦门,xiamen21.
台北,taipeicity360.
香港,hongkong38.
北京,beijing1.
苏州,suzhou11.
南京,nanjing9.
丽江,lijiang32.
重庆,chongqing158.
武汉,wuhan145.
昆明,kunming29.
广州,guangzhou152.
天津,tianjin154.
深圳,shenzhen26.
澳门,macau39.
无锡,wuxi10.
大理,dali31.
大连,dalian4.
长沙,changsha148.
宁波,ningbo83.
沈阳,shenyang155.
桂林,guilin28.
西安,xian7.
西双版纳,xishuangbanna30.
哈尔滨,haerbin151.
张家界,zhangjiajie23.
拉萨,lhasa36.
高雄,gaoxiong756.
三亚,sanya61.
扬州,yangzhou12.
青岛,qingdao5.
花莲,hualien1366.
香格里拉,xianggelila106.
凤凰,fenghuang988.
北海,beihai140.
绍兴,shaoxing18.
南宁,nanning166.
贵阳,guiyang33.
阿坝,aba744.
福州,fuzhou164.
西宁,xining237.
阳朔,yangshuo702.
湘西,xiangxi496.
秦皇岛,qinhuangdao132.
长春,changchun216.
九寨沟,jiuzhaigou25.
威海,weihai169.
济南,jinan128.
珠海,zhuhai27.
峨眉山,emeishan24.
海口,haikou37.
武夷山,wuyishan22.
舟山,zhoushan479.
太原,taiyuan167.
郑州,zhengzhou157.
银川,yinchuan239.
嘉兴,jiaxing272.
乐山,leshan103.
平遥,pingyao365.
黄山,huangshan120061.
烟台,yantai170.
承德,chengde135.
乌鲁木齐,urumqi117.
稻城,daocheng342.
常州,changzhou206.
林芝,linzhi126.
洛阳,luoyang198.
桐乡,tongxiang220.
兰州,lanzhou231.
开封,kaifeng165.
连云港,lianyungang238.
屏东,pingtung1364.
日喀则,rikaze100.
台南,tainan757.
呼伦贝尔,hulunbeier458.
南投市,nantou759.
腾冲,tengchong696.
台中,taizhong1369.
敦煌,dunhuang8.
石家庄,shijiazhuang199.
嘉善,jiashan1019.
温州,wenzhou153.
泉州,quanzhou243.
上饶,shangrao547.
景德镇,jingdezhen405.
迪庆,diqing120009.
婺源,wuyuan446.
临安,linan88.
都江堰,dujiangyan911.
康定,kangding344.
湖州,huzhou68.
南昌,nanchang175.
牡丹江,mudanjiang264.
甘孜,ganzi754.
大同,datong275.
新北,newtaipeicity2063.
泰安,taian746.
佛山,foshan207.
金华,jinhua219.
甘南,gannan426.
安吉,anji686.
台东,taitung760.
呼和浩特,huhehaote156.
昆山,kunshan77.
宜昌,yichang313.
阿里,ali99.
惠州,huizhou213.
嵊泗,shengsi82.
合肥,hefei196.
嘉义市,chiayi758.
黔东南,qiandongnan2375.
漠河,mohe983.
晋中,jinzhong639.
嘉峪关,jiayuguan284.
东莞,dongguan212.
满洲里,manzhouli319.
肇庆,zhaoqing269.
镇江,zhenjiang13.
延边,yanbian415.
丽水,lishui441.
日照,rizhao622.
九江,jiujiang877.
漳州,zhangzhou334.
丹东,dandong315.
葫芦岛,huludao345.
酒泉,jiuquan282.
宜兰,yilan1383.
大邑,dayi3130.
张掖,zhangye283.
台州,taizhou402.
宜春,yichun743.
韶关,shaoguan222.
徐州,xuzhou230.
神农架,shennongjia147.
吉林市,jilinshi267.
保定,baoding459.
南通,nantong85.
保山,baoshan420.
中山,zhongshan233.
清远,qingyuan517.
色达,sedaxian120478.
汕头,shantou215.
阿勒泰,aletai427.
伊犁,yili115.
咸阳,xianyang632.
黟县,yixian528.
伊春,yichun498.
延安,yanan423.
淳安,chunan2249.
青阳,qingyang2613.
忻州,xinzhou783.
海林,hailin2240.
赤峰,chifeng483.
昌都,changdu559.
丹巴,danba704.
蓬莱,penglai168.
咸宁,xianning861.
安顺,anshun518.
景洪,jinghong2154.
大兴安岭,daxinganling396.
池州,chizhou825.
宝鸡,baoji422.
张家口,zhangjiakou497.
西昌,xichang592.
渭南,weinan908.
常熟,changshu101.
焦作,jiaozuo663.
松潘,songpan606.
潍坊,weifang226.
海西,haixi120012.
宜宾,yibin278.
溧阳,liyang598.
南平,nanping827.
临沂,linyi480.
柳州,liuzhou143.
江门,jiangmen362.
十堰,shiyan464.
芜湖,wuhu457.
龙岩,longyan366.
镇远,zhenyuan1840.
潮州,chaozhou467.
临汾,linfen318.
红河,honghe512.
湛江,zhanjiang202.
彰化,changhua3180.
济宁,jining658.
长岛,changdao505.
东阳,dongyang608.
绵阳,mianyang915.
衡山,hengshan277.
理塘,litang3150.
布尔津,buerjin1010.
黔南,qiannan2374.
吐鲁番市,tulufan35.
衡阳,hengyang864.
荔波,libo659.
宜兴,yixing227.
雷山,leishan2345.
凉山,liangshan912.
凯里,kaili491.
赣州,ganzhou473.
遵义,zunyi204.
喀什,kashi124.
阳江,yangjiang363.
汉中,hanzhong486.
吉安,jian876.
山南,shannan339.
宁德,ningde490.
恩施,enshi487.
德清,deqing1011.
岳阳,yueyang287.
泰州,taizhou494.
乐清,yueqing1022.
华阴,huayin476.
象山,xiangshan723.
桐庐,tonglu688.
曲阜,qufu129.
若尔盖,ruoergai3165.
井冈山,jinggangshan171.
德格,dege3140.
南阳,nanyang591.
安庆,anqing179.
南靖,najing2672.
惠东,huidong956.
包头,baotou347.
白玉,baiyuxian120485.
文山,wenshan511.
海北,haibei120014.
宣城,xuancheng504.
梅州,meizhou523.
南充,nanchong782.
莆田,putian317.
泸定,luding2059.
登封,dengfeng1014.
唐山,tangshan200.
河源,heyuan350.
枣庄,zaozhuang656.
雅安,yaan917.
郴州,chenzhou336.
中卫,zhongwei1184.
曲靖,qujing509.
淮安,huaian351.
三沙,sansha120101.
金川,jinchuan3125.
衢州,quzhou174.
荣成,rongcheng899.
淄博,zibo536.
雅江,yajiang3137.
本溪,benxi463.
襄阳,xiangyang414.
琼海,qionghai843.
克什克腾旗,keshiketengqi2971.
丹江口,danjiangkou1018.
鄂尔多斯,eerduosi600.
巴塘,batang3102.
玉溪,yuxi477.
万宁,wanning846.
盐城,yancheng493.
齐齐哈尔,qiqihaer395.
锡林郭勒盟,xilingol484.
天水,tianshui285.
黔西南,qianxinan1428.
大庆,daqing531.
罗平,luoping676.
新乡,xinxiang474.
永嘉,yongjia785.
三明,sanming620.
锦州,jinzhou513.
广元,guangyuan593.
邯郸,handan495.
信阳,xinyang448.
运城,yuncheng397.
六安,liuan502.
道孚,daofu1446234.
宁海,ninghai689.
义乌,yiwu1005.
晋城,jincheng665.
铜仁,tongren680.
余姚,yuyao98.
夏河,xiahe2792.
阿拉善,alashan1193.
滁州,chuzhou228.
湟中,huangzhong2645.
龙胜,longsheng1445120.
廊坊,langfang582.
黑河,heihe265.
榆林,yulin485.
陵水,lingshui1509.
白山,baishan871.
尚志,shangzhi853.
安阳,anyang412.
巴音郭楞,bayinguoleng2512.
汶川,wenchuan3101.
湘潭,xiangtan1417.
基隆,keelung1382.
泰顺,taishun625.
墨脱,motuo120397.
修武,xiuwu2267.
贺州,hezhou707.
兴安盟,xinganmeng886.
昌吉,changji923.
阿尔山,aershan120084.
歙县,shexian527.
围场,weichang2584.
安康,ankang545.
阆中,langzhong831.
毕节,bijie521.
弥勒,mileshi1342.
龙门,longmen2949.
碌曲,luqu2799.
常德,changde417.
金门,jinmen1368.
百色,baise524.
株洲,zhuzhou1174.
五常,wuchang2237.
